"Income.Group","Region","Country","Year","Indicator","Value"
"High income","North America","Canada",1990,"Urbanr",100
"High income","North America","Canada",1990,"AgingPopr",100
"High income","North America","Canada",1990,"FemLabr",100
"High income","North America","Canada",1990,"Unemployr",100
"High income","North America","Canada",1990,"GDPgr",100
"High income","North America","Canada",1990,"GDPpcapr",100
"High income","North America","Canada",1990,"FDIGDPr",100
"High income","North America","Canada",1990,"FDIusdr",100
"High income","North America","Canada",1990,"HDIr",100
"High income","North America","Canada",1990,"LEIr",100
"High income","North America","Canada",1990,"IncIr",100
"High income","North America","Canada",1990,"EduIr",100
"High income","North America","Canada",1990,"EPIr",100
"High income","North America","Canada",1990,"EFIr",100
"High income","North America","Canada",1990,"ESGcompr",100
"High income","North America","Canada",1991,"Urbanr",100
"High income","North America","Canada",1991,"AgingPopr",100.88
"High income","North America","Canada",1991,"FemLabr",100.68
"High income","North America","Canada",1991,"Unemployr",100
"High income","North America","Canada",1991,"GDPgr",-1366.81
"High income","North America","Canada",1991,"GDPpcapr",101.49
"High income","North America","Canada",1991,"FDIGDPr",40.7
"High income","North America","Canada",1991,"FDIusdr",-225.99
"High income","North America","Canada",1991,"HDIr",100.35
"High income","North America","Canada",1991,"LEIr",100.23
"High income","North America","Canada",1991,"IncIr",99.42
"High income","North America","Canada",1991,"EduIr",101.49
"High income","North America","Canada",1991,"EPIr",100
"High income","North America","Canada",1991,"EFIr",100
"High income","North America","Canada",1991,"ESGcompr",100.16
"High income","North America","Canada",1992,"Urbanr",100.39
"High income","North America","Canada",1992,"AgingPopr",102.65
"High income","North America","Canada",1992,"FemLabr",101.13
"High income","North America","Canada",1992,"Unemployr",108.74
"High income","North America","Canada",1992,"GDPgr",546.7
"High income","North America","Canada",1992,"GDPpcapr",97.35
"High income","North America","Canada",1992,"FDIGDPr",83.75
"High income","North America","Canada",1992,"FDIusdr",52.31
"High income","North America","Canada",1992,"HDIr",100.71
"High income","North America","Canada",1992,"LEIr",100.57
"High income","North America","Canada",1992,"IncIr",99.31
"High income","North America","Canada",1992,"EduIr",102.23
"High income","North America","Canada",1992,"EPIr",100
"High income","North America","Canada",1992,"EFIr",100
"High income","North America","Canada",1992,"ESGcompr",100.31
"High income","North America","Canada",1993,"Urbanr",100.78
"High income","North America","Canada",1993,"AgingPopr",103.54
"High income","North America","Canada",1993,"FemLabr",101.36
"High income","North America","Canada",1993,"Unemployr",110.68
"High income","North America","Canada",1993,"GDPgr",1615.85
"High income","North America","Canada",1993,"GDPpcapr",93.81
"High income","North America","Canada",1993,"FDIGDPr",51.18
"High income","North America","Canada",1993,"FDIusdr",-140.94
"High income","North America","Canada",1993,"HDIr",100.47
"High income","North America","Canada",1993,"LEIr",100.91
"High income","North America","Canada",1993,"IncIr",99.65
"High income","North America","Canada",1993,"EduIr",101.12
"High income","North America","Canada",1993,"EPIr",100
"High income","North America","Canada",1993,"EFIr",100
"High income","North America","Canada",1993,"ESGcompr",100.26
"High income","North America","Canada",1994,"Urbanr",101.04
"High income","North America","Canada",1994,"AgingPopr",104.42
"High income","North America","Canada",1994,"FemLabr",101.36
"High income","North America","Canada",1994,"Unemployr",100.97
"High income","North America","Canada",1994,"GDPgr",2729.34
"High income","North America","Canada",1994,"GDPpcapr",92.95
"High income","North America","Canada",1994,"FDIGDPr",116.66
"High income","North America","Canada",1994,"FDIusdr",-145.92
"High income","North America","Canada",1994,"HDIr",101.06
"High income","North America","Canada",1994,"LEIr",101.13
"High income","North America","Canada",1994,"IncIr",100.12
"High income","North America","Canada",1994,"EduIr",101.74
"High income","North America","Canada",1994,"EPIr",100
"High income","North America","Canada",1994,"EFIr",100
"High income","North America","Canada",1994,"ESGcompr",100.46
"High income","North America","Canada",1995,"Urbanr",101.44
"High income","North America","Canada",1995,"AgingPopr",106.19
"High income","North America","Canada",1995,"FemLabr",101.81
"High income","North America","Canada",1995,"Unemployr",92.23
"High income","North America","Canada",1995,"GDPgr",1635.96
"High income","North America","Canada",1995,"GDPpcapr",96.11
"High income","North America","Canada",1995,"FDIGDPr",159.84
"High income","North America","Canada",1995,"FDIusdr",-192.33
"High income","North America","Canada",1995,"HDIr",101.29
"High income","North America","Canada",1995,"LEIr",101.47
"High income","North America","Canada",1995,"IncIr",100.46
"High income","North America","Canada",1995,"EduIr",101.99
"High income","North America","Canada",1995,"EPIr",100
"High income","North America","Canada",1995,"EFIr",100
"High income","North America","Canada",1995,"ESGcompr",100.6
"High income","North America","Canada",1996,"Urbanr",101.83
"High income","North America","Canada",1996,"AgingPopr",107.08
"High income","North America","Canada",1996,"FemLabr",102.04
"High income","North America","Canada",1996,"Unemployr",93.2
"High income","North America","Canada",1996,"GDPgr",983.27
"High income","North America","Canada",1996,"GDPpcapr",98.97
"High income","North America","Canada",1996,"FDIGDPr",99.17
"High income","North America","Canada",1996,"FDIusdr",-247.65
"High income","North America","Canada",1996,"HDIr",101.53
"High income","North America","Canada",1996,"LEIr",101.7
"High income","North America","Canada",1996,"IncIr",100.58
"High income","North America","Canada",1996,"EduIr",102.36
"High income","North America","Canada",1996,"EPIr",100.5
"High income","North America","Canada",1996,"EFIr",101.3
"High income","North America","Canada",1996,"ESGcompr",101.21
"High income","North America","Canada",1997,"Urbanr",102.22
"High income","North America","Canada",1997,"AgingPopr",107.96
"High income","North America","Canada",1997,"FemLabr",102.27
"High income","North America","Canada",1997,"Unemployr",88.35
"High income","North America","Canada",1997,"GDPgr",2599.12
"High income","North America","Canada",1997,"GDPpcapr",101.78
"High income","North America","Canada",1997,"FDIGDPr",164.4
"High income","North America","Canada",1997,"FDIusdr",-591.06
"High income","North America","Canada",1997,"HDIr",101.53
"High income","North America","Canada",1997,"LEIr",102.04
"High income","North America","Canada",1997,"IncIr",101.16
"High income","North America","Canada",1997,"EduIr",101.24
"High income","North America","Canada",1997,"EPIr",100.45
"High income","North America","Canada",1997,"EFIr",97.84
"High income","North America","Canada",1997,"ESGcompr",100.19
"High income","North America","Canada",1998,"Urbanr",102.74
"High income","North America","Canada",1998,"AgingPopr",108.85
"High income","North America","Canada",1998,"FemLabr",102.95
"High income","North America","Canada",1998,"Unemployr",80.58
"High income","North America","Canada",1998,"GDPgr",1698.24
"High income","North America","Canada",1998,"GDPpcapr",97.69
"High income","North America","Canada",1998,"FDIGDPr",279.48
"High income","North America","Canada",1998,"FDIusdr",-583.54
"High income","North America","Canada",1998,"HDIr",101.29
"High income","North America","Canada",1998,"LEIr",102.38
"High income","North America","Canada",1998,"IncIr",101.62
"High income","North America","Canada",1998,"EduIr",99.88
"High income","North America","Canada",1998,"EPIr",100.73
"High income","North America","Canada",1998,"EFIr",98.7
"High income","North America","Canada",1998,"ESGcompr",100.43
"High income","North America","Canada",1999,"Urbanr",103.26
"High income","North America","Canada",1999,"AgingPopr",110.62
"High income","North America","Canada",1999,"FemLabr",103.17
"High income","North America","Canada",1999,"Unemployr",73.79
"High income","North America","Canada",1999,"GDPgr",2411.14
"High income","North America","Canada",1999,"GDPpcapr",103.68
"High income","North America","Canada",1999,"FDIGDPr",287.08
"High income","North America","Canada",1999,"FDIusdr",320.1
"High income","North America","Canada",1999,"HDIr",101.65
"High income","North America","Canada",1999,"LEIr",102.72
"High income","North America","Canada",1999,"IncIr",102.43
"High income","North America","Canada",1999,"EduIr",99.88
"High income","North America","Canada",1999,"EPIr",101.2
"High income","North America","Canada",1999,"EFIr",99.86
"High income","North America","Canada",1999,"ESGcompr",101.06
"High income","North America","Canada",2000,"Urbanr",103.79
"High income","North America","Canada",2000,"AgingPopr",111.5
"High income","North America","Canada",2000,"FemLabr",103.63
"High income","North America","Canada",2000,"Unemployr",66.02
"High income","North America","Canada",2000,"GDPgr",2986.39
"High income","North America","Canada",2000,"GDPpcapr",112.78
"High income","North America","Canada",2000,"FDIGDPr",650.48
"High income","North America","Canada",2000,"FDIusdr",920.89
"High income","North America","Canada",2000,"HDIr",102.12
"High income","North America","Canada",2000,"LEIr",103.17
"High income","North America","Canada",2000,"IncIr",103.24
"High income","North America","Canada",2000,"EduIr",99.88
"High income","North America","Canada",2000,"EPIr",102.06
"High income","North America","Canada",2000,"EFIr",101.59
"High income","North America","Canada",2000,"ESGcompr",101.97
"High income","North America","Canada",2001,"Urbanr",104.18
"High income","North America","Canada",2001,"AgingPopr",112.39
"High income","North America","Canada",2001,"FemLabr",103.85
"High income","North America","Canada",2001,"Unemployr",69.9
"High income","North America","Canada",2001,"GDPgr",853.53
"High income","North America","Canada",2001,"GDPpcapr",110.68
"High income","North America","Canada",2001,"FDIGDPr",272.55
"High income","North America","Canada",2001,"FDIusdr",-458.98
"High income","North America","Canada",2001,"HDIr",102.59
"High income","North America","Canada",2001,"LEIr",103.51
"High income","North America","Canada",2001,"IncIr",103.36
"High income","North America","Canada",2001,"EduIr",100.99
"High income","North America","Canada",2001,"EPIr",104.22
"High income","North America","Canada",2001,"EFIr",102.59
"High income","North America","Canada",2001,"ESGcompr",103.03
"High income","North America","Canada",2002,"Urbanr",104.31
"High income","North America","Canada",2002,"AgingPopr",113.27
"High income","North America","Canada",2002,"FemLabr",104.54
"High income","North America","Canada",2002,"Unemployr",74.76
"High income","North America","Canada",2002,"GDPgr",2078.15
"High income","North America","Canada",2002,"GDPpcapr",112.69
"High income","North America","Canada",2002,"FDIGDPr",228.38
"High income","North America","Canada",2002,"FDIusdr",-301.98
"High income","North America","Canada",2002,"HDIr",103.18
"High income","North America","Canada",2002,"LEIr",103.85
"High income","North America","Canada",2002,"IncIr",103.7
"High income","North America","Canada",2002,"EduIr",101.99
"High income","North America","Canada",2002,"EPIr",106.91
"High income","North America","Canada",2002,"EFIr",107.49
"High income","North America","Canada",2002,"ESGcompr",105.35
"High income","North America","Canada",2003,"Urbanr",104.44
"High income","North America","Canada",2003,"AgingPopr",114.16
"High income","North America","Canada",2003,"FemLabr",104.99
"High income","North America","Canada",2003,"Unemployr",73.79
"High income","North America","Canada",2003,"GDPgr",2314.34
"High income","North America","Canada",2003,"GDPpcapr",131.48
"High income","North America","Canada",2003,"FDIGDPr",55.55
"High income","North America","Canada",2003,"FDIusdr",-798.23
"High income","North America","Canada",2003,"HDIr",103.76
"High income","North America","Canada",2003,"LEIr",104.31
"High income","North America","Canada",2003,"IncIr",103.82
"High income","North America","Canada",2003,"EduIr",102.98
"High income","North America","Canada",2003,"EPIr",108.26
"High income","North America","Canada",2003,"EFIr",107.78
"High income","North America","Canada",2003,"ESGcompr",106.01
"High income","North America","Canada",2004,"Urbanr",104.44
"High income","North America","Canada",2004,"AgingPopr",115.04
"High income","North America","Canada",2004,"FemLabr",105.22
"High income","North America","Canada",2004,"Unemployr",69.9
"High income","North America","Canada",2004,"GDPgr",2376.86
"High income","North America","Canada",2004,"GDPpcapr",149.36
"High income","North America","Canada",2004,"FDIGDPr",10.03
"High income","North America","Canada",2004,"FDIusdr",-1944.52
"High income","North America","Canada",2004,"HDIr",104.35
"High income","North America","Canada",2004,"LEIr",104.65
"High income","North America","Canada",2004,"IncIr",104.28
"High income","North America","Canada",2004,"EduIr",104.09
"High income","North America","Canada",2004,"EPIr",109.77
"High income","North America","Canada",2004,"EFIr",108.5
"High income","North America","Canada",2004,"ESGcompr",106.88
"High income","North America","Canada",2005,"Urbanr",104.57
"High income","North America","Canada",2005,"AgingPopr",115.93
"High income","North America","Canada",2005,"FemLabr",105.22
"High income","North America","Canada",2005,"Unemployr",66.02
"High income","North America","Canada",2005,"GDPgr",3033.82
"High income","North America","Canada",2005,"GDPpcapr",169.09
"High income","North America","Canada",2005,"FDIGDPr",154.47
"High income","North America","Canada",2005,"FDIusdr",-173.46
"High income","North America","Canada",2005,"HDIr",104.94
"High income","North America","Canada",2005,"LEIr",105.1
"High income","North America","Canada",2005,"IncIr",104.63
"High income","North America","Canada",2005,"EduIr",105.09
"High income","North America","Canada",2005,"EPIr",111.28
"High income","North America","Canada",2005,"EFIr",109.22
"High income","North America","Canada",2005,"ESGcompr",107.74
"High income","North America","Canada",2006,"Urbanr",104.7
"High income","North America","Canada",2006,"AgingPopr",117.7
"High income","North America","Canada",2006,"FemLabr",105.9
"High income","North America","Canada",2006,"Unemployr",61.17
"High income","North America","Canada",2006,"GDPgr",2529.76
"High income","North America","Canada",2006,"GDPpcapr",188.29
"High income","North America","Canada",2006,"FDIGDPr",345.57
"High income","North America","Canada",2006,"FDIusdr",593.28
"High income","North America","Canada",2006,"HDIr",105.29
"High income","North America","Canada",2006,"LEIr",105.44
"High income","North America","Canada",2006,"IncIr",105.09
"High income","North America","Canada",2006,"EduIr",105.46
"High income","North America","Canada",2006,"EPIr",112.58
"High income","North America","Canada",2006,"EFIr",111.53
"High income","North America","Canada",2006,"ESGcompr",108.9
"High income","North America","Canada",2007,"Urbanr",104.96
"High income","North America","Canada",2007,"AgingPopr",118.58
"High income","North America","Canada",2007,"FemLabr",106.35
"High income","North America","Canada",2007,"Unemployr",58.25
"High income","North America","Canada",2007,"GDPgr",4171.07
"High income","North America","Canada",2007,"GDPpcapr",207.68
"High income","North America","Canada",2007,"FDIGDPr",581.23
"High income","North America","Canada",2007,"FDIusdr",2352.3
"High income","North America","Canada",2007,"HDIr",104.82
"High income","North America","Canada",2007,"LEIr",105.78
"High income","North America","Canada",2007,"IncIr",105.21
"High income","North America","Canada",2007,"EduIr",103.35
"High income","North America","Canada",2007,"EPIr",111.8
"High income","North America","Canada",2007,"EFIr",112.39
"High income","North America","Canada",2007,"ESGcompr",108.72
"High income","North America","Canada",2008,"Urbanr",105.22
"High income","North America","Canada",2008,"AgingPopr",120.35
"High income","North America","Canada",2008,"FemLabr",106.12
"High income","North America","Canada",2008,"Unemployr",59.22
"High income","North America","Canada",2008,"GDPgr",611.89
"High income","North America","Canada",2008,"GDPpcapr",217.24
"High income","North America","Canada",2008,"FDIGDPr",319.98
"High income","North America","Canada",2008,"FDIusdr",-889.72
"High income","North America","Canada",2008,"HDIr",105.06
"High income","North America","Canada",2008,"LEIr",106.24
"High income","North America","Canada",2008,"IncIr",105.21
"High income","North America","Canada",2008,"EduIr",103.6
"High income","North America","Canada",2008,"EPIr",113.91
"High income","North America","Canada",2008,"EFIr",115.56
"High income","North America","Canada",2008,"ESGcompr",110.26
"High income","North America","Canada",2009,"Urbanr",105.48
"High income","North America","Canada",2009,"AgingPopr",123.01
"High income","North America","Canada",2009,"FemLabr",106.58
"High income","North America","Canada",2009,"Unemployr",80.58
"High income","North America","Canada",2009,"GDPgr",-1878.32
"High income","North America","Canada",2009,"GDPpcapr",190.1
"High income","North America","Canada",2009,"FDIGDPr",108.02
"High income","North America","Canada",2009,"FDIusdr",-813.98
"High income","North America","Canada",2009,"HDIr",105.06
"High income","North America","Canada",2009,"LEIr",106.58
"High income","North America","Canada",2009,"IncIr",104.51
"High income","North America","Canada",2009,"EduIr",104.09
"High income","North America","Canada",2009,"EPIr",115.9
"High income","North America","Canada",2009,"EFIr",115.99
"High income","North America","Canada",2009,"ESGcompr",110.89
"High income","North America","Canada",2010,"Urbanr",105.61
"High income","North America","Canada",2010,"AgingPopr",125.66
"High income","North America","Canada",2010,"FemLabr",106.8
"High income","North America","Canada",2010,"Unemployr",78.64
"High income","North America","Canada",2010,"GDPgr",1876.14
"High income","North America","Canada",2010,"GDPpcapr",221.22
"High income","North America","Canada",2010,"FDIGDPr",130.19
"High income","North America","Canada",2010,"FDIusdr",-381.83
"High income","North America","Canada",2010,"HDIr",105.29
"High income","North America","Canada",2010,"LEIr",106.92
"High income","North America","Canada",2010,"IncIr",104.75
"High income","North America","Canada",2010,"EduIr",104.09
"High income","North America","Canada",2010,"EPIr",116.55
"High income","North America","Canada",2010,"EFIr",115.85
"High income","North America","Canada",2010,"ESGcompr",111.1
"High income","North America","Canada",2011,"Urbanr",105.87
"High income","North America","Canada",2011,"AgingPopr",128.32
"High income","North America","Canada",2011,"FemLabr",106.8
"High income","North America","Canada",2011,"Unemployr",72.82
"High income","North America","Canada",2011,"GDPgr",1910.99
"High income","North America","Canada",2011,"GDPpcapr",242.85
"High income","North America","Canada",2011,"FDIGDPr",151.52
"High income","North America","Canada",2011,"FDIusdr",-599.99
"High income","North America","Canada",2011,"HDIr",105.76
"High income","North America","Canada",2011,"LEIr",107.26
"High income","North America","Canada",2011,"IncIr",105.09
"High income","North America","Canada",2011,"EduIr",104.96
"High income","North America","Canada",2011,"EPIr",117.88
"High income","North America","Canada",2011,"EFIr",116.43
"High income","North America","Canada",2011,"ESGcompr",111.84
"High income","North America","Canada",2012,"Urbanr",105.87
"High income","North America","Canada",2012,"AgingPopr",130.97
"High income","North America","Canada",2012,"FemLabr",107.03
"High income","North America","Canada",2012,"Unemployr",70.87
"High income","North America","Canada",2012,"GDPgr",1070.14
"High income","North America","Canada",2012,"GDPpcapr",245.61
"High income","North America","Canada",2012,"FDIGDPr",190.85
"High income","North America","Canada",2012,"FDIusdr",-647.75
"High income","North America","Canada",2012,"HDIr",106.59
"High income","North America","Canada",2012,"LEIr",107.6
"High income","North America","Canada",2012,"IncIr",105.32
