"Income.Group","Region","Country","Year","Urbanr","AgingPopr","FemLabr","Unemployr","GDPgr","GDPpcapr","FDIGDPr","FDIusdr","HDIr","LEIr","IncIr","EduIr","EPIr","EFIr","ESGcompr"
"Upper middle income","Europe & Central Asia","Albania",1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Upper middle income","Europe & Central Asia","Albania",1991,100.82,101.82,103.61,100,-292.43,54.53,100,100,97.05,100,91.08,100.86,100,100,98.91
"Upper middle income","Europe & Central Asia","Albania",1992,102.2,105.45,105.78,100.62,-75.06,32.54,100,100,94.41,100,88.46,95.55,100,100,97.81
"Upper middle income","Europe & Central Asia","Albania",1993,103.85,109.09,106.51,101.85,199.83,59.5,159.56,290,94.88,100.13,91.96,92.98,100,100,97.96
"Upper middle income","Europe & Central Asia","Albania",1994,105.49,112.73,107.23,101.85,186.71,95.01,91.88,265,95.81,100.38,94.58,92.81,100,100,98.34
"Upper middle income","Europe & Central Asia","Albania",1995,106.87,116.36,107.23,101.85,239.13,121.61,95.4,350,97.67,100.75,98.43,94.35,100,100,99.14
"Upper middle income","Europe & Central Asia","Albania",1996,108.52,120,106.02,101.85,195.03,163.63,91.82,450.5,99.22,101.38,101.05,95.55,100.41,108.25,102.09
"Upper middle income","Europe & Central Asia","Albania",1997,109.89,121.82,105.54,101.85,-114.04,116.23,68.58,237.5,99.22,102.01,98.08,97.77,102.47,110.26,103.2
"Upper middle income","Europe & Central Asia","Albania",1998,111.54,123.64,103.61,101.85,192.21,131.85,57.65,225.05,100.78,102.76,100.7,99.32,102.32,108.45,103.39
"Upper middle income","Europe & Central Asia","Albania",1999,113.19,125.45,101.45,102.47,234.61,167.4,41.83,206,102.48,103.39,104.02,100.34,102.04,107.44,103.77
"Upper middle income","Europe & Central Asia","Albania",2000,114.56,129.09,100.24,102.47,172.58,182.54,133.98,715,103.57,104.14,106.12,100.68,92.26,107.85,101.71
"Upper middle income","Europe & Central Asia","Albania",2001,116.48,132.73,99.76,102.47,186.57,207.65,172.35,1036.5,104.5,104.77,108.57,100.86,77.13,113.88,99.7
"Upper middle income","Europe & Central Asia","Albania",2002,119.51,138.18,100,103.09,147.41,230.89,101.24,675,105.59,105.4,109.62,102.4,70.79,114.29,98.57
"Upper middle income","Europe & Central Asia","Albania",2003,122.53,143.64,100.24,103.09,157.75,299.1,103.46,890.18,106.68,105.9,111.36,103.6,64.08,114.29,97.26
"Upper middle income","Europe & Central Asia","Albania",2004,125.55,149.09,100.72,102.47,157.54,384.55,154.9,1638.41,107.45,106.27,112.76,103.77,63.54,117.71,98.31
"Upper middle income","Europe & Central Asia","Albania",2005,128.3,154.55,101.2,101.85,157.75,433.19,106.3,1292.09,109.01,106.65,114.16,106.68,64.33,116.3,98.81
"Upper middle income","Europe & Central Asia","Albania",2006,131.32,161.82,101.69,100,161.62,481.63,119.18,1573.19,110.09,107.03,116.08,107.71,67.77,121.33,101.55
"Upper middle income","Europe & Central Asia","Albania",2007,134.34,169.09,102.17,98.77,162.45,582.45,199.21,3236.83,111.49,107.4,117.83,109.93,78.67,123.54,105.7
"Upper middle income","Europe & Central Asia","Albania",2008,137.36,178.18,102.41,80.86,178.32,708.09,315.72,4406.22,112.42,107.9,119.41,110.62,90.9,125.55,109.94
"Upper middle income","Europe & Central Asia","Albania",2009,140.38,185.45,100.24,84.57,134.99,666.55,364.26,4753.81,113.2,108.53,119.93,111.64,97.61,128.17,112.78
"Upper middle income","Europe & Central Asia","Albania",2010,143.41,192.73,102.17,87.04,138.71,663.34,297.98,5217.56,114.91,109.16,121.15,115.24,101.24,132.8,115.78
"Upper middle income","Europe & Central Asia","Albania",2011,146.15,200,102.17,83.33,126.58,718.88,265.28,4233.08,117.86,109.91,122.2,122.43,101.89,128.77,116.17
"Upper middle income","Europe & Central Asia","Albania",2012,149.18,207.27,102.17,82.72,114.8,688.18,242.98,4174.02,119.72,110.54,122.38,127.23,102.64,130.99,117.77
"Upper middle income","Europe & Central Asia","Albania",2013,152.2,214.55,99.52,98.15,110.46,714.98,320.1,6128.37,121.27,111.04,123.25,130.65,103.03,131.19,118.62
"Upper middle income","Europe & Central Asia","Albania",2014,154.95,221.82,97.83,108.02,118.53,741.8,283.47,5371.47,122.2,111.54,123.6,132.53,101.51,134.61,119.52
"Upper middle income","Europe & Central Asia","Albania",2015,157.69,229.09,100,105.56,123.17,640.41,283.39,4551.28,122.36,112.05,124.3,131.85,100.27,132.19,118.64
"Upper middle income","Europe & Central Asia","Albania",2016,160.44,236.36,99.76,93.83,134.62,668.15,287.12,5186.64,122.36,112.3,125.35,130.31,99.13,132.6,118.41
"Upper middle income","Europe & Central Asia","Albania",2017,163.19,241.82,99.76,85.19,139.71,734.09,256.16,5644.61,122.52,112.55,126.05,129.79,100.62,129.58,118.08
"Upper middle income","Europe & Central Asia","Albania",2018,165.66,249.09,100,75.93,142.52,856.14,259.28,6044.6,122.83,112.8,127.1,129.79,101.05,129.78,118.44
"Upper middle income","Europe & Central Asia","Albania",2019,168.13,258.18,100,75.93,123.12,867.24,256.34,5805.23,NA,NA,NA,NA,102.99,133.8,NA
"Upper middle income","Latin America & Caribbean","Argentina",1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Upper middle income","Latin America & Caribbean","Argentina",1991,100.34,101.12,101.27,100,470.18,132.35,98.98,132.84,100.99,100.38,101.83,100.64,100,100,100.42
"Upper middle income","Latin America & Caribbean","Argentina",1992,100.57,102.25,102.28,118.52,421.71,157.46,149.11,177.84,101.7,100.88,103.39,100.96,100,100,100.79
